date,daily_total_pnl,daily_avg_pnl,daily_pnl_volatility,daily_trade_count,daily_volume,daily_avg_trade_size,daily_avg_leverage,daily_max_leverage,daily_winning_trades,daily_win_rate,daily_avg_abs_pnl,value_first,classification_first,risk_adjusted_pnl,date_dt,sentiment_lag1,sentiment_lag2,sentiment_change,next_day_pnl,next_day_volume
2024-10-08,5396.546638,149.90407327777777,223.40754741053024,36,434584.13,12071.781388888889,169.2046614475103,200.0,33,0.9166666666666666,149.90407327777777,49.0,Neutral,24.047972986075997,2024-10-08,50.0,50.0,-1.0,396.06272,220399.93
2024-10-09,396.06272,28.290194285714286,61.54299038481661,14,220399.93,15742.852142857142,200.0,200.0,3,0.21428571428571427,28.290194285714286,49.0,Neutral,6.332647632661822,2024-10-09,49.0,50.0,0.0,0.0,300024.33999999997
2024-10-10,0.0,0.0,0.0,16,300024.33999999997,18751.521249999998,189.2574856740307,200.0,0,0.0,0.0,39.0,Fear,0.0,2024-10-10,49.0,49.0,-10.0,8885.327477,488904.19
2024-10-11,8885.327477,341.74336450000004,367.9830904604618,26,488904.19,18804.007307692307,190.14643835207204,200.0,18,0.6923076923076923,341.74336450000004,32.0,Fear,24.08058175758627,2024-10-11,39.0,49.0,-7.0,541.55471,159713.4
2024-10-12,541.55471,54.155471,63.374247509280295,10,159713.4,15971.34,199.40813426007048,200.0,7,0.7,54.155471,49.0,Neutral,8.412598685863141,2024-10-12,32.0,39.0,17.0,0.0,60002.42
2024-10-13,0.0,0.0,0.0,10,60002.42,6000.242,200.0,200.0,0,0.0,0.0,50.0,Neutral,0.0,2024-10-13,49.0,32.0,1.0,1913.61958,61916.020000000004
2024-10-14,1913.61958,382.72391600000003,497.27205914834235,5,61916.020000000004,12383.204000000002,200.0,200.0,5,1.0,382.72391600000003,48.0,Neutral,3.8405115134707755,2024-10-14,50.0,49.0,-2.0,1170.2260760000001,81173.36
2024-10-15,1170.2260760000001,167.17515371428573,347.7876385038441,7,81173.36,11596.194285714286,200.0,200.0,4,0.5714285714285714,167.17515371428573,65.0,Greed,3.3551248576921764,2024-10-15,48.0,50.0,17.0,219.480876,80229.17
2024-10-16,219.480876,19.95280690909091,35.58157491300189,11,80229.17,7293.560909090909,189.460954891189,200.0,3,0.2727272727272727,19.95280690909091,73.0,Greed,5.999765633982908,2024-10-16,65.0,48.0,8.0,36.11496,140531.75
2024-10-17,36.11496,4.0127733333333335,12.830443659406326,9,140531.75,15614.638888888889,200.0,200.0,1,0.1111111111111111,4.4714133333333335,71.0,Greed,2.611265472705034,2024-10-17,73.0,65.0,-2.0,333.219141,120331.43000000001
2024-10-18,333.219141,55.536523499999994,51.489580908627175,6,120331.43000000001,20055.238333333335,200.0,200.0,5,0.8333333333333334,55.536523499999994,73.0,Greed,6.348291131911708,2024-10-18,71.0,73.0,2.0,0.0,99996.86
2024-10-19,0.0,0.0,0.0,4,99996.86,24999.215,200.0,200.0,0,0.0,0.0,72.0,Greed,0.0,2024-10-19,73.0,71.0,-1.0,389.155797,176447.86000000002
2024-10-20,389.155797,4.05370621875,13.65197281145091,96,176447.86000000002,1837.9985416666668,10.976379480547534,200.0,11,0.11458333333333333,4.05370621875,73.0,Greed,26.559958990359597,2024-10-20,72.0,73.0,1.0,2464.915564,324117.99
2024-10-21,2464.915564,14.248066843930635,40.07987913321128,173,324117.99,1873.5143930635838,11.885081574421244,200.0,68,0.3930635838150289,14.248066843930635,72.0,Greed,60.00298968765037,2024-10-21,73.0,72.0,-1.0,0.0,60000.36
2024-10-22,0.0,0.0,0.0,3,60000.36,20000.12,200.0,200.0,0,0.0,0.0,70.0,Greed,0.0,2024-10-22,72.0,73.0,-2.0,-46.489941,210006.07
2024-10-23,-46.489941,-2.5827745,6.37713910085234,18,210006.07,11667.003888888888,167.4880406606603,200.0,0,0.0,2.5827745,71.0,Greed,-6.301892964798324,2024-10-23,70.0,72.0,1.0,13235.862071,427883.18
2024-10-25,13235.862071,441.19540236666666,1366.4039341402422,30,427883.18,14262.772666666666,164.30660046246985,200.0,21,0.7,441.19540236666666,72.0,Greed,9.679555353423838,2024-10-25,71.0,70.0,1.0,666.6623079999999,90664.41
2024-10-27,666.6623079999999,166.66557699999998,293.9572048762827,4,90664.41,22666.1025,200.0,200.0,3,0.75,166.66557699999998,74.0,Greed,2.2602001137067522,2024-10-27,72.0,71.0,2.0,167.28016200000002,121495.25
2024-10-28,167.28016200000002,12.867704769230771,44.454488070634156,13,121495.25,9345.788461538461,138.89730262599372,200.0,4,0.3076923076923077,12.867704769230771,72.0,Greed,3.6801682100138153,2024-10-28,74.0,72.0,-2.0,801.170876,613267.8099999999
2024-10-29,801.170876,15.11643162264151,99.68468397007351,53,613267.8099999999,11571.09075471698,159.10400711268454,200.0,3,0.05660377358490566,15.11643162264151,72.0,Greed,7.95722690293324,2024-10-29,72.0,74.0,0.0,9.150023,11830.85
2024-10-30,9.150023,0.36600091999999995,1.0256853979943898,25,11830.85,473.23400000000004,48.091101656051435,200.0,7,0.28,0.36779644,77.0,Extreme Greed,4.5170010155867955,2024-10-30,72.0,72.0,5.0,1214.043811,896173.36
2024-10-31,1214.043811,25.292579395833332,33.00414935089389,48,896173.36,18670.278333333332,139.78451836306286,200.0,34,0.7083333333333334,25.398971687499998,77.0,Extreme Greed,35.70281374993683,2024-10-31,77.0,72.0,0.0,1040.475736,260981.03
